systemName;region;route;banner;abbrev;city;root;altRouteNames
usasib;KY;AshBri;;;Ashland Bridge;ky.ashbri;
usasib;OH;AshBri;;;Ashland Bridge;oh.ashbri;
usasib;WA;BriGod;;;Bridge of the Gods;wa.brigod;
usasib;OR;BriGod;;;Bridge of the Gods;or.brigod;
usasib;MO;EadBri;;;Eads Bridge;mo.eadbri;
usasib;IL;EadBri;;;Eads Bridge;il.eadbri;
usasib;WV;EHunBri;;;East Huntingdon Bridge;wv.ehunbri;
usasib;OH;EHunBri;;;East Huntingdon Bridge;oh.ehunbri;
usasib;WV;CarBri;;;Hi Carpender Memorial Bridge;wv.carbri;
usasib;OH;CarBri;;;Hi Carpender Memorial Bridge;oh.carbri;
usasib;OR;HooRivBri;;;Hood River Bridge;or.hoorivbri;
usasib;WA;HooRivBri;;;Hood River Bridge;wa.hoorivbri;
usasib;KY;RoeSusBri;;;John A Roebling Suspension Bridge;ky.roesusbri;
usasib;OH;RoeSusBri;;;John A Roebling Suspension Bridge;oh.roesusbri;
usasib;OR;LewClaBri;;;Lewis and Clark Bridge;or.lewclabri;
usasib;WA;LewClaBri;;;Lewis and Clark Bridge;wa.lewclabri;
usasib;MO;MLKBri;;;Martin Luther King Bridge;mo.mlkbri;
usasib;IL;MLKBri;;;Martin Luther King Bridge;il.mlkbri;
usasib;MO;McKBri;;;McKinley Bridge;mo.mckbri;
usasib;IL;McKBri;;;McKinley Bridge;il.mckbri;
usasib;OH;MemBri;;;Memorial Bridge;oh.membri;
usasib;WV;MemBri;;;Memorial Bridge;wv.membri;
usasib;OH;MouBri;;;Moundsville Bridge;oh.moubri;
usasib;WV;MouBri;;;Moundsville Bridge;wv.moubri;
usasib;KY;ColBri;;;Oakley C Collins Memorial Bridge;ky.colbri;
usasib;OH;ColBri;;;Oakley C Collins Memorial Bridge;oh.colbri;
usasib;WV;WelBri;;;Wellsburg Bridge;wv.welbri;
usasib;OH;WelBri;;;Wellsburg Bridge;oh.welbri;
usasib;WV;WilBri;;;Williamstown Bridge;wv.wilbri;
usasib;OH;WilBri;;;Williamstown Bridge;oh.wilbri;
